file,system,bytes,below_min_bytes
CP_Base_P1.mp3,CP_Base,50199,False
CP_Base_P2.mp3,CP_Base,84053,False
CP_Base_P3.mp3,CP_Base,207560,False
CP_Base_P4.mp3,CP_Base,219472,False
CP_Base_P5.mp3,CP_Base,60857,False
CP_Base_P6.mp3,CP_Base,219472,False
CP_Base_P7.mp3,CP_Base,219472,False
CP_Base_P8.mp3,CP_Base,129193,False
MMM_P1.mp3,MMM,129193,False
MMM_P2.mp3,MMM,244550,False
MMM_P3.mp3,MMM,95338,False
MMM_P4.mp3,MMM,361787,False
MMM_P5.mp3,MMM,148628,False
MMM_P6.mp3,MMM,361787,False
MMM_P7.mp3,MMM,104115,False
MMM_P8.mp3,MMM,146120,False
PulseFormer_P1.mp3,PulseFormer,361787,False
PulseFormer_P2.mp3,PulseFormer,361787,False
PulseFormer_P3.mp3,PulseFormer,361787,False
PulseFormer_P4.mp3,PulseFormer,361787,False
PulseFormer_P5.mp3,PulseFormer,241415,False
PulseFormer_P6.mp3,PulseFormer,361787,False
PulseFormer_P7.mp3,PulseFormer,218845,False
PulseFormer_P8.mp3,PulseFormer,361787,False
REMI_P1.mp3,REMI,671,True
REMI_P2.mp3,REMI,671,True
REMI_P3.mp3,REMI,671,True
REMI_P4.mp3,REMI,78411,False
REMI_P5.mp3,REMI,671,True
REMI_P6.mp3,REMI,671,True
REMI_P7.mp3,REMI,13836,False
REMI_P8.mp3,REMI,671,True
